Date,Day,ADR Model,ADR Conf,ADR Sess,ADR Mid Trans,ADR Mid Box,ADR Mid Session,ODR Model,ODR BOX,ODR CONFO,ODR TRUERUE,ODR Confirmation Time,ODR Max Ext,ODR Max Ret,odr_false_conf_time,odr_end_of_session_SD,ODR END OF SESSION LOCATION,ODR Mid Trans,ODR Mid Box,ODR Mid Session,RDR Model,RDR BOX,RDR IDR MID,RDR DR MID,RDR Conf,RDR Sess,ADR MID RDR Trans,ADR MID RDR BOX,ADR MID RDR SESSION
2008-03-26,Wednesday,UXP,Long,TRUE,intact,intact,intact,UXP,GREEN,Short,FALSE,04:25,0.3333,-4.0333,05:35,-2.8667,above,intact,intact,intact,UXP,GREEN,-4.64,-4.69,Long,TRUE,intact,intact,intact
2008-03-27,Thursday,UXP,Long,TRUE,intact,broken,broken,UX,RED,Short,FALSE,04:20,1.2143,-6.0714,05:10,-2.3214,above,broken,broken,broken,RX,GREEN,-0.97,-0.86,Long,TRUE,broken,broken,broken
2008-03-28,Friday,UXP,Short,TRUE,intact,intact,broken,DXP,GREEN,Short,FALSE,04:20,3,-4,05:25,2.6842,below,intact,intact,intact,DXP,RED,6.34,6.15,Short,TRUE,intact,intact,intact
2008-03-31,Monday,DXP,Long,FALSE,broken,intact,broken,UX,GREEN,Short,TRUE,04:45,0.2,-1.34,,-0.58,inside,intact,intact,broken,UXP,GREEN,-2.6,-2.59,Short,TRUE,intact,intact,broken
2008-04-01,Tuesday,DXP,Short,TRUE,intact,intact,intact,DXP,RED,Short,FALSE,04:10,0.3704,-1.7407,05:00,-0.7407,inside,broken,intact,broken,DXP,GREEN,1.04,0.93,Long,TRUE,intact,intact,broken
2008-04-02,Wednesday,UXP,Long,TRUE,intact,intact,intact,UXP,GREEN,Long,TRUE,04:00,2.0968,-1.0645,,-0.1935,inside,broken,broken,broken,DX,RED,-1.81,-1.62,Short,FALSE,broken,broken,broken
2008-04-03,Thursday,UXP,Short,TRUE,intact,intact,intact,DXP,GREEN,Short,TRUE,04:05,2.5161,0,,0.7419,below,intact,broken,broken,RX,GREEN,0.74,0.8,Long,TRUE,intact,broken,broken
2008-04-04,Friday,RC,Long,TRUE,intact,intact,intact,UXP,GREEN,Long,TRUE,05:45,0.8718,-0.5897,,0.6154,above,broken,intact,intact,UXP,GREEN,2.21,2.2,Short,FALSE,broken,intact,intact
2008-04-07,Monday,UXP,Short,TRUE,intact,intact,broken,DXP,RED,Long,TRUE,04:25,3,0.2571,,2.4286,above,intact,intact,intact,UXP,GREEN,5.92,5.85,Long,TRUE,intact,intact,intact
2008-04-08,Tuesday,RC,Neutral,Neutral,broken,broken,broken,U,GREEN,Short,TRUE,05:55,1.0149,-0.5224,,1.0149,below,intact,broken,broken,RC,GREEN,-0.47,-0.42,Short,TRUE,intact,broken,broken
2008-04-09,Wednesday,RC,Short,TRUE,intact,intact,intact,DXP,RED,Long,FALSE,05:30,0.3061,-1.4898,07:10,-0.5306,inside,broken,intact,intact,UXP,GREEN,0.62,0.65,Long,TRUE,intact,broken,broken
2008-04-10,Thursday,UXP,Long,TRUE,broken,broken,broken,U,GREEN,Long,TRUE,04:25,1.6271,-0.9661,,-0.8644,inside,broken,broken,broken,D,RED,-1.15,-1.27,Short,TRUE,broken,broken,broken
2008-04-11,Friday,DXP,Short,TRUE,broken,intact,intact,UXP,GREEN,Long,FALSE,04:20,1.4688,-1.9375,07:20,-0.1875,inside,broken,intact,broken,DXP,GREEN,-2.74,-2.55,Short,FALSE,broken,broken,broken
2008-04-14,Monday,UX,Long,FALSE,intact,intact,broken,UXP,RED,Short,FALSE,04:05,0.7308,-5.8077,06:35,-4.7692,above,intact,intact,intact,UXP,GREEN,-3.37,-3.35,Long,TRUE,intact,intact,intact
2008-04-15,Tuesday,UXP,Short,FALSE,broken,broken,broken,U,GREEN,Short,FALSE,04:05,1.5714,-11.5714,06:10,-9,above,intact,intact,intact,UXP,RED,-10,-10.4,Long,TRUE,intact,intact,intact
2008-04-16,Wednesday,RC,Long,TRUE,intact,intact,intact,UX,RED,Long,TRUE,05:10,2.8077,-0.1538,,0.6154,above,broken,broken,broken,DX,RED,-1.1,-1.39,Long,FALSE,intact,broken,broken
2008-04-17,Thursday,UXP,Long,TRUE,broken,broken,broken,RX,GREEN,Long,FALSE,04:20,1.0244,-1.7805,07:45,-1.1707,below,broken,broken,broken,U,GREEN,-0.27,-0.26,Short,TRUE,broken,broken,broken
2008-04-18,Friday,RC,Long,TRUE,intact,broken,intact,D,RED,Short,TRUE,04:30,6.5,-0.2143,,6.1786,below,intact,intact,broken,DXP,GREEN,3.37,3.29,Long,TRUE,intact,intact,broken
2008-04-21,Monday,UXP,Neutral,Neutral,broken,broken,broken,RX,GREEN,Long,TRUE,04:00,0.5789,-1.0351,,0.0702,above,broken,broken,broken,D,GREEN,-0.76,-0.69,Short,FALSE,broken,broken,broken
2008-04-22,Tuesday,UXP,Long,FALSE,broken,broken,broken,RX,GREEN,Long,TRUE,04:40,1.2381,-0.1905,,-0.0714,inside,broken,broken,intact,U,GREEN,0.35,0.39,Long,TRUE,broken,broken,intact
2008-04-23,Wednesday,UXP,Short,TRUE,broken,intact,broken,DXP,GREEN,Long,FALSE,04:10,1,-6.0667,04:40,-5.6667,below,intact,intact,broken,DXP,GREEN,-5.2,-5.6,Short,FALSE,intact,intact,broken
2008-04-24,Thursday,UXP,Short,TRUE,broken,intact,broken,UXP,GREEN,Short,TRUE,04:00,7,0.7143,,3.6429,below,intact,intact,intact,DXP,GREEN,9.96,11.42,Long,FALSE,intact,intact,intact
2008-04-25,Friday,DXP,Long,TRUE,broken,broken,broken,RX,RED,Short,FALSE,04:00,0.3238,-2.3619,05:45,-2.2762,above,intact,intact,intact,UXP,RED,-2.8,-2.79,Long,TRUE,intact,intact,intact
2008-04-28,Monday,UXP,Short,FALSE,intact,broken,broken,RX,RED,Short,TRUE,04:00,2.7037,-1.1481,,0.6296,below,intact,broken,broken,D,GREEN,1.29,1.59,Neutral,Neutral,intact,broken,broken
2008-04-29,Tuesday,RC,Short,TRUE,intact,intact,intact,DXP,RED,Short,TRUE,04:05,3.5,-0.5714,,3.1071,below,intact,intact,intact,DXP,GREEN,4.37,4.16,Short,TRUE,intact,intact,intact
