Date,Day,ODR Model,ODR Type,Color,RDR Model,ADR std Based RDR open,ODR std Based RDR open,ADR or ODR bigger
12/17/2021,friday,dx,short true,red,dxp,-1.5,-0.5,odr
12/20/2021,monday,dxp,short false,red,dx,-4.5,0,odr
12/21/2021,tuesday,rx,long true,red,uxp,4.5,3,odr
12/22/2021,wednesday,rx,long true,green,u,0,0,odr
12/23/2021,thursday,dxp,long true,red,uxp,0,1.5,odr
12/27/2021,monday,dx,short false,green,uxp,0.5,2.5,adr
12/28/2021,tuesday,rx,long true,green,ux,4.5,0.5,odr
12/29/2021,wednesday,rc,short true,na,dxp,-2.5,-3,adr
12/30/2021,thursday,dx,short true,green,uxp,1,2.5,adr
12/31/2021,friday,uxp,short true,red,dxp,0,-1,odr
1/3/2022,monday,dx,short true,green,dxp,-4,-6.5,adr
1/4/2022,tuesday,rc,long true,green,uxp,0.5,0.5,adr
1/5/2022,wednesday,dx,short false,red,uxp,3,3,adr
1/6/2022,thursday,uxp,long true,green,uxp,9,6,odr
1/7/2022,friday,rc,long true,red,dxp,-0.5,-1,adr
1/10/2022,monday,uxp,short false,red,dxp,0.5,-0.5,odr
1/11/2022,tuesday,uxp,long true,green,u,3.5,1.5,odr
1/12/2022,wednesday,u,long true,green,uxp,1.5,0.5,odr
1/13/2022,thursday,dxp,long false,green,u,0,0.5,odr
1/14/2022,friday,uxp,long false,green,ux,4,0,odr
1/17/2022,monday,dx,short true,red,dxp,-1.5,-0.5,adr
1/18/2022,tuesday,uxp,short true,red,d,2.5,-1,odr
1/19/2022,wednesday,dxp,long true,red,uxp,-1,1,adr
1/20/2022,thursday,ux,long true,red,uxp,1.5,1,adr
1/21/2022,friday,ux,short false,red,ux,2,2,adr
1/24/2022,monday,dxp,short true,red,dxp,-8,-7,adr
1/25/2022,tuesday,rc,long false,red,rx,-0.5,-1,adr
1/26/2022,wednesday,uxp,long true,green,uxp,9,4,equal
1/27/2022,thursday,rx,long true,green,rx,6,3,odr
1/28/2022,friday,rx,short false,red,uxp,3,2,odr
1/31/2022,monday,dx,short true,green,dxp,-1,0,adr
2/1/2022,tuesday,dx,short true,green,dx,-2.5,-2,adr
2/2/2022,wednesday,dxp,long true,green,rx,0.5,1,odr
2/3/2022,thursday,uxp,short true,red,rx,0,-0.5,odr
2/4/2022,friday,uxp,long true,green,uxp,2.5,1,odr
2/7/2022,monday,dx,short true,red,d,-0.5,0,adr
2/8/2022,tuesday,dxp,long false,red,dxp,-4,-2,adr
2/9/2022,wednesday,d,short true,green,ux,0.5,0.5,odr
2/10/2022,thursday,u,long false,green,rx,-0.5,-1.5,adr
2/11/2022,friday,ux,long true,green,uxp,6.5,3,odr
2/14/2022,monday,dxp,short true,red,d,-3.5,-0.5,odr
2/15/2022,tuesday,dxp,short true,red,dxp,-12,-1.5,odr
2/16/2022,wednesday,uxp,short false,green,uxp,1.5,0.5,adr
