Date,Day_of_Week,RDR_Trade_Direction,RDR_Confirmation_Candle,RDR_Confirmation_Candle_15min,RDR_Confirmation_Candle_30min,RDR_Box_STD,RDR_Max_EXT_Time,RDR_Max_EXT_Time_15min,RDR_Max_EXT_Time_30min,RDR_Max_RET_Time,RDR_Max_RET_Time_15min,RDR_Max_RET_Time_30min,RDR_M7_Time,RDR_M7_Time_15min,RDR_M7_Time_30min,RDR_RBC_Time,RDR_RBC_Time_15min,RDR_RBC_Time_30min,RDR_M7_Retrace,RDR_Max_Ext_STD,RDR_Max_Ret_STD,RDR_RBC_STD,RDR_Session_True,Confirmation_Size_STD
2008-04-02,Wednesday,Short,10:30:00,10:30:00,10:30:00,-0.21428571428572155,11:40:00,11:30:00,11:30:00,14:25:00,14:15:00,14:00:00,10:55:00,10:45:00,10:30:00,10:30:00,10:30:00,10:30:00,-2.25,0.6607142857142911,-7.874999999999962,-0.053571428571430386,False,1.5178571428571266
2008-04-03,Thursday,Long,10:35:00,10:30:00,10:30:00,0.8456790123456781,11:05:00,11:00:00,11:00:00,14:15:00,14:15:00,14:00:00,10:40:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,0.24074074074074253,0.9444444444444507,-0.8086419753086482,-0.16666666666666521,True,0.5987654320987683
2008-04-04,Friday,Short,11:20:00,11:15:00,11:00:00,0.18421052631579243,11:25:00,11:15:00,11:00:00,14:25:00,14:15:00,14:00:00,11:25:00,11:15:00,11:00:00,10:35:00,10:30:00,10:30:00,0.11842105263158485,0.6052631578947546,-1.5394736842105283,-1.013157894736849,False,0.5000000000000187
2008-04-07,Monday,Long,11:55:00,11:45:00,11:30:00,0.7789473684210715,12:00:00,12:00:00,12:00:00,12:30:00,12:30:00,12:30:00,12:00:00,12:00:00,12:00:00,11:25:00,11:15:00,11:00:00,0.12631578947369052,0.30526315789474706,-0.46315789473684527,-0.6842105263157887,True,0.40000000000001495
2008-04-08,Tuesday,Short,10:55:00,10:45:00,10:30:00,0.1799999999999784,11:20:00,11:15:00,11:00:00,14:00:00,14:00:00,14:00:00,11:00:00,11:00:00,11:00:00,10:40:00,10:30:00,10:30:00,0.37999999999999545,2.259999999999991,-1.1400000000000148,-0.8400000000000034,True,0.799999999999983
2008-04-09,Wednesday,Long,10:30:00,10:30:00,10:30:00,0.34042553191488717,13:00:00,13:00:00,13:00:00,15:05:00,15:00:00,15:00:00,10:35:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,3.085106382978737,6.361702127659579,2.787234042553203,-0.9574468085106467,True,3.5531914893617143
2008-04-10,Thursday,Short,11:45:00,11:45:00,11:30:00,-1.029702970297031,12:00:00,12:00:00,12:00:00,13:40:00,13:30:00,13:30:00,11:50:00,11:45:00,11:30:00,10:35:00,10:30:00,10:30:00,0.36633663366337416,1.297029702970311,-0.9702970297029829,-0.9207920792079217,True,0.5346534653465457
2008-04-11,Friday,Short,12:40:00,12:30:00,12:30:00,0.5918367346938965,12:45:00,12:45:00,12:30:00,15:50:00,15:45:00,15:30:00,12:45:00,12:45:00,12:30:00,11:10:00,11:00:00,11:00:00,0.06122448979592133,0.6938775510204224,-2.4081632653061327,-1.367346938775528,False,0.5102040816326584
2008-04-14,Monday,Long,10:35:00,10:30:00,10:30:00,0.38461538461538125,14:25:00,14:15:00,14:00:00,14:00:00,14:00:00,14:00:00,14:00:00,14:00:00,14:00:00,10:30:00,10:30:00,10:30:00,-0.7538461538461394,1.3076923076922875,-0.7538461538461394,-0.18461538461539,True,0.5538461538461481
2008-04-15,Tuesday,Long,11:55:00,11:45:00,11:30:00,-0.18518518518517738,15:55:00,15:45:00,15:30:00,13:50:00,13:45:00,13:30:00,13:50:00,13:45:00,13:30:00,10:30:00,10:30:00,10:30:00,-1.6296296296296453,1.7777777777778188,-1.6296296296296453,-0.9259259259259396,True,0.7777777777778188
